18:25:16.001996 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:21.003348 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:26.000673 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:31.003634 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:35.926906 ARP, Request who-has 192.168.20.135 (Broadcast) tell 192.168.20.136, length 46
18:25:35.927361 ARP, Reply 192.168.20.135 is-at 00:0c:29:6f:d4:68 (oui Unknown), length 46
18:25:36.000568 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:36.128525 IP 192.168.20.136.38878 > 192.168.20.2.domain: 32008+ PTR? 135.20.168.192.in-addr.arpa. (45)
18:25:36.142079 IP 192.168.20.2.domain > 192.168.20.136.38878: 32008 NXDomain 0/0/0 (45)
18:25:36.143989 IP 192.168.20.136.57385 > 192.168.20.135.ssh: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:27:51.497427 IP 192.168.20.136.63567 > 192.168.20.135.2393: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.497522 IP 192.168.20.136.63567 > 192.168.20.135.311: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.497613 IP 192.168.20.136.63567 > 192.168.20.135.10566: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.497777 IP 192.168.20.136.63567 > 192.168.20.135.5000: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.497905 IP 192.168.20.136.63567 > 192.168.20.135.912: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498135 IP 192.168.20.136.63567 > 192.168.20.135.35500: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498234 IP 192.168.20.136.63567 > 192.168.20.135.211: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498286 IP 192.168.20.136.63567 > 192.168.20.135.1085: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498393 IP 192.168.20.136.63567 > 192.168.20.135.3551: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498491 IP 192.168.20.136.63567 > 192.168.20.135.afpovertcp: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498585 IP 192.168.20.136.63567 > 192.168.20.135.5054: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498727 IP 192.168.20.136.63567 > 192.168.20.135.1055: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498823 IP 192.168.20.136.63567 > 192.168.20.135.8007: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.498917 IP 192.168.20.136.63567 > 192.168.20.135.8000: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499013 IP 192.168.20.136.63567 > 192.168.20.135.3071: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499140 IP 192.168.20.136.63567 > 192.168.20.135.daap: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499236 IP 192.168.20.136.63567 > 192.168.20.135.10616: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499410 IP 192.168.20.136.63567 > 192.168.20.135.720: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499503 IP 192.168.20.136.63567 > 192.168.20.135.16113: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499556 IP 192.168.20.136.63567 > 192.168.20.135.45100: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499643 IP 192.168.20.136.63567 > 192.168.20.135.8086: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499693 IP 192.168.20.136.63567 > 192.168.20.135.1047: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499731 IP 192.168.20.136.63567 > 192.168.20.135.nntps: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499766 IP 192.168.20.136.63567 > 192.168.20.135.3828: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499802 IP 192.168.20.136.63567 > 192.168.20.135.787: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499837 IP 192.168.20.136.63567 > 192.168.20.135.3880: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.499964 IP 192.168.20.136.63567 > 192.168.20.135.ripd: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.500036 IP 192.168.20.136.63567 > 192.168.20.135.20031: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.500098 IP 192.168.20.136.63567 > 192.168.20.135.nrpe: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.500183 IP 192.168.20.135.1002 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500266 IP 192.168.20.135.1666 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500344 IP 192.168.20.135.shell > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500382 IP 192.168.20.135.9091 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500444 IP 192.168.20.135.1088 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500480 IP 192.168.20.135.4848 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500573 IP 192.168.20.135.cvspserver > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500642 IP 192.168.20.135.10626 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500679 IP 192.168.20.135.tacacs > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500741 IP 192.168.20.135.24444 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500777 IP 192.168.20.135.1149 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500838 IP 192.168.20.135.54328 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500874 IP 192.168.20.135.50636 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500936 IP 192.168.20.135.1039 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.500972 IP 192.168.20.135.telnets > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501039 IP 192.168.20.135.xmpp-client > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501109 IP 192.168.20.135.8651 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501146 IP 192.168.20.135.2557 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501236 IP 192.168.20.135.daytime > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501287 IP 192.168.20.135.2022 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501362 IP 192.168.20.135.8084 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501400 IP 192.168.20.135.2393 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501436 IP 192.168.20.135.311 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501471 IP 192.168.20.135.10566 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501510 IP 192.168.20.135.5000 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501546 IP 192.168.20.135.912 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501581 IP 192.168.20.135.35500 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501617 IP 192.168.20.135.211 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501652 IP 192.168.20.135.1085 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501687 IP 192.168.20.135.3551 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501721 IP 192.168.20.135.afpovertcp > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501757 IP 192.168.20.135.5054 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501796 IP 192.168.20.135.1055 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501831 IP 192.168.20.135.8007 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501866 IP 192.168.20.135.8000 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501902 IP 192.168.20.135.3071 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501937 IP 192.168.20.135.daap > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.501972 IP 192.168.20.135.10616 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502007 IP 192.168.20.135.720 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502043 IP 192.168.20.135.16113 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502079 IP 192.168.20.135.45100 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502114 IP 192.168.20.135.8086 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502150 IP 192.168.20.135.1047 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502185 IP 192.168.20.135.nntps > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502272 IP 192.168.20.135.3828 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502311 IP 192.168.20.135.787 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502346 IP 192.168.20.135.3880 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502381 IP 192.168.20.135.ripd > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502419 IP 192.168.20.135.20031 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502454 IP 192.168.20.135.nrpe > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.502685 IP 192.168.20.136.63567 > 192.168.20.135.40911: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.502773 IP 192.168.20.136.63567 > 192.168.20.135.1935: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.502836 IP 192.168.20.136.63567 > 192.168.20.135.bpjava-msvc: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.502898 IP 192.168.20.136.63567 > 192.168.20.135.8291: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.502996 IP 192.168.20.136.63567 > 192.168.20.135.5811: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503062 IP 192.168.20.136.63567 > 192.168.20.135.58080: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503151 IP 192.168.20.135.40911 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.503245 IP 192.168.20.135.1935 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.503314 IP 192.168.20.136.63567 > 192.168.20.135.1174: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503353 IP 192.168.20.136.63567 > 192.168.20.135.rmiregistry: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503449 IP 192.168.20.136.63567 > 192.168.20.135.3168: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503515 IP 192.168.20.136.63567 > 192.168.20.135.2382: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503569 IP 192.168.20.135.bpjava-msvc > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.503679 IP 192.168.20.136.63567 > 192.168.20.135.32: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503762 IP 192.168.20.135.8291 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.503828 IP 192.168.20.135.5811 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.503881 IP 192.168.20.136.63567 > 192.168.20.135.31038: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.503921 IP 192.168.20.136.63567 > 192.168.20.135.1641: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504089 IP 192.168.20.135.58080 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.504183 IP 192.168.20.136.63567 > 192.168.20.135.27353: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504243 IP 192.168.20.136.63567 > 192.168.20.135.3324: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504306 IP 192.168.20.136.63567 > 192.168.20.135.11110: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504341 IP 192.168.20.136.63567 > 192.168.20.135.49400: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504402 IP 192.168.20.136.63567 > 192.168.20.135.1107: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504467 IP 192.168.20.136.63567 > 192.168.20.135.57294: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504552 IP 192.168.20.135.1174 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.504618 IP 192.168.20.135.rmiregistry > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.504654 IP 192.168.20.135.3168 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.504715 IP 192.168.20.135.2382 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.504769 IP 192.168.20.136.63567 > 192.168.20.135.5009: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504808 IP 192.168.20.136.63567 > 192.168.20.135.9666: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.504861 IP 192.168.20.135.32 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.504918 IP 192.168.20.136.63567 > 192.168.20.135.x11-7: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505027 IP 192.168.20.135.31038 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.505090 IP 192.168.20.135.1641 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.505146 IP 192.168.20.136.63567 > 192.168.20.135.7443: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505182 IP 192.168.20.136.63567 > 192.168.20.135.bgp: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505314 IP 192.168.20.136.63567 > 192.168.20.135.668: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505384 IP 192.168.20.136.63567 > 192.168.20.135.x11-4: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505446 IP 192.168.20.136.63567 > 192.168.20.135.65000: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505528 IP 192.168.20.135.27353 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.505594 IP 192.168.20.135.3324 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.505646 IP 192.168.20.136.63567 > 192.168.20.135.cmip-man: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505686 IP 192.168.20.136.63567 > 192.168.20.135.32777: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505773 IP 192.168.20.135.11110 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.505880 IP 192.168.20.136.63567 > 192.168.20.135.7201: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.505943 IP 192.168.20.136.63567 > 192.168.20.135.5800: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506032 IP 192.168.20.136.63567 > 192.168.20.135.3871: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506069 IP 192.168.20.136.63567 > 192.168.20.135.60443: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506130 IP 192.168.20.136.63567 > 192.168.20.135.1311: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506194 IP 192.168.20.136.63567 > 192.168.20.135.26214: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506291 IP 192.168.20.136.63567 > 192.168.20.135.16018: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506362 IP 192.168.20.136.63567 > 192.168.20.135.iscsi-target: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506428 IP 192.168.20.136.63567 > 192.168.20.135.2126: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506487 IP 192.168.20.135.49400 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506528 IP 192.168.20.135.1107 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506589 IP 192.168.20.135.57294 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506625 IP 192.168.20.135.5009 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506686 IP 192.168.20.135.9666 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506722 IP 192.168.20.135.x11-7 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506776 IP 192.168.20.136.63567 > 192.168.20.135.1148: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.506855 IP 192.168.20.135.7443 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.506963 IP 192.168.20.136.63567 > 192.168.20.135.7938: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507026 IP 192.168.20.136.63567 > 192.168.20.135.1443: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507137 IP 192.168.20.135.bgp > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507178 IP 192.168.20.135.668 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507249 IP 192.168.20.135.x11-4 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507315 IP 192.168.20.136.63567 > 192.168.20.135.1151: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507353 IP 192.168.20.136.63567 > 192.168.20.135.15002: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507441 IP 192.168.20.135.65000 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507528 IP 192.168.20.136.63567 > 192.168.20.135.1687: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507565 IP 192.168.20.136.63567 > 192.168.20.135.8200: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507617 IP 192.168.20.135.cmip-man > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507674 IP 192.168.20.136.63567 > 192.168.20.135.1164: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507762 IP 192.168.20.135.32777 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507800 IP 192.168.20.135.7201 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.507852 IP 192.168.20.136.63567 > 192.168.20.135.2301: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.507968 IP 192.168.20.135.5800 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508005 IP 192.168.20.135.3871 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508062 IP 192.168.20.136.63567 > 192.168.20.135.12000: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.508104 IP 192.168.20.136.63567 > 192.168.20.135.64680: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.508156 IP 192.168.20.135.60443 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508196 IP 192.168.20.135.1311 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508283 IP 192.168.20.136.63567 > 192.168.20.135.1000: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.508387 IP 192.168.20.135.26214 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508432 IP 192.168.20.135.16018 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508557 IP 192.168.20.135.iscsi-target > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508645 IP 192.168.20.135.2126 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508787 IP 192.168.20.135.1148 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508841 IP 192.168.20.135.7938 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.508978 IP 192.168.20.135.1443 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509031 IP 192.168.20.135.1151 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509082 IP 192.168.20.135.15002 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509177 IP 192.168.20.135.1687 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509260 IP 192.168.20.135.8200 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509316 IP 192.168.20.135.1164 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509365 IP 192.168.20.135.2301 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509458 IP 192.168.20.135.12000 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509510 IP 192.168.20.135.64680 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.509558 IP 192.168.20.135.1000 > 192.168.20.136.63567: Flags [R.], seq 0, ack 2724564352, win 0, length 0
18:27:51.511723 IP 192.168.20.136.63567 > 192.168.20.135.6156: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.511903 IP 192.168.20.136.63567 > 192.168.20.135.1147: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512047 IP 192.168.20.136.63567 > 192.168.20.135.afs3-fileserver: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512149 IP 192.168.20.136.63567 > 192.168.20.135.2809: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512325 IP 192.168.20.136.63567 > 192.168.20.135.13456: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512466 IP 192.168.20.136.63567 > 192.168.20.135.3001: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512584 IP 192.168.20.136.63567 > 192.168.20.135.x11-5: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512702 IP 192.168.20.136.63567 > 192.168.20.135.omirr: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512819 IP 192.168.20.136.63567 > 192.168.20.135.8089: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512901 IP 192.168.20.136.63567 > 192.168.20.135.259: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.512989 IP 192.168.20.136.63567 > 192.168.20.135.1029: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513076 IP 192.168.20.136.63567 > 192.168.20.135.50500: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513224 IP 192.168.20.136.63567 > 192.168.20.135.klogin: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513276 IP 192.168.20.136.63567 > 192.168.20.135.19315: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513357 IP 192.168.20.136.63567 > 192.168.20.135.4662: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513471 IP 192.168.20.136.63567 > 192.168.20.135.49999: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513601 IP 192.168.20.136.63567 > 192.168.20.135.1272: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513779 IP 192.168.20.136.63567 > 192.168.20.135.5001: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.513958 IP 192.168.20.136.63567 > 192.168.20.135.5405: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514072 IP 192.168.20.136.63567 > 192.168.20.135.1199: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514203 IP 192.168.20.136.63567 > 192.168.20.135.7676: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514313 IP 192.168.20.136.63567 > 192.168.20.135.gsigatekeeper: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514400 IP 192.168.20.136.63567 > 192.168.20.135.9535: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514479 IP 192.168.20.136.63567 > 192.168.20.135.2042: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514564 IP 192.168.20.136.63567 > 192.168.20.135.kerberos: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514714 IP 192.168.20.136.63567 > 192.168.20.135.3766: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514774 IP 192.168.20.136.63567 > 192.168.20.135.541: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514784 IP 192.168.20.136.63567 > 192.168.20.135.6666: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514872 IP 192.168.20.136.63567 > 192.168.20.135.6792: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514933 IP 192.168.20.136.63567 > 192.168.20.135.3351: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514944 IP 192.168.20.136.63567 > 192.168.20.135.90: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.514992 IP 192.168.20.136.63567 > 192.168.20.135.5960: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515009 IP 192.168.20.136.63567 > 192.168.20.135.3889: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515056 IP 192.168.20.136.63567 > 192.168.20.135.1064: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515068 IP 192.168.20.136.63567 > 192.168.20.135.545: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515114 IP 192.168.20.136.63567 > 192.168.20.135.48080: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515125 IP 192.168.20.136.63567 > 192.168.20.135.20828: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515176 IP 192.168.20.136.63567 > 192.168.20.135.722: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515187 IP 192.168.20.136.63567 > 192.168.20.135.3995: Flags [F], seq 2724564351, win 1024, length 0
18:27:51.515233 IP 192.168.20.136.63567 > 192.168.20.135.amandaidx: Flags [F], seq 2724564351, win 1024, length 0
